"job_title","total_listings"
"Standardized Operations & Analytics, Program Management Office Data Analytics Intern","50"
"Data Analyst","16"
"Senior Data Scientist","9"
"Senior Data Engineer","8"
"Data Solution Architect","4"
"Data Engineer","3"
"Head of Data Science","3"
"Senior SAP Data Migration Consultant","2"
"Sr. Marketing Segmentation & Data Analyst","2"
"Data Product Manager","2"
"Data Specialist","2"
"Enterprise Architect - Data","2"
"Data Architect","2"
"Data Scientist Senior","2"
"Lead Data Engineer","2"
